name*,version*,license*,vendor/community,end-of-support,dependencies,language
antlr,2.7.7-redhat-1,BSD 3-clause,,,,java
aopalliance,1.0.0,Public Domain,,,,java
asm,3.3.1,BSD 3-clause,,,,java
cglib,2.2.2,Apache 2.0,,,,java
commons-beanutils,1.8.3,Apache 2.0,,,,java
commons-collections,3.2.1,Apache 2.0,,,,java
commons-dbcp,1.2.2,Apache 2.0,,,,java
commons-fileupload,1.2.2,Apache 2.0,,,,java
commons-httpclient,2.0.2,Apache 2.0,,,,java
commons-lang,2.6,Apache 2.0,,,,java
commons-lang3,3.1,Apache 2.0,,,,java
commons-pool,1.5.2,Apache 2.0,,,,java

csi-apachesoap,1.4.6,???,,,,java
csi-core,1.4.6,???,,,,java
csi-ejb,1.4.6,???,,,,java
csi-ejb-weblogic,1.4.6,???,,,,java
csi-rmi,1.4.6,???,,,,java
csi-stadapter,1.4.6,???,,,,java
csi-tools,1.4.6,???,,,,java

cxf-api,2.4.6-redhat-1,Apache 2.0,,,,java
dom4j,1.6.1-redhat-1,BSD 4-clause,,,,java
freemarker,2.3.22,Apache 2.0,,,,java
hibernate-commons-annotations,4.0.1.Final-redhat-1,LGPL 2.1,,,,java
hibernate-core,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-entitymanager,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-jpa-2.0-api,1.0.1.Final-redhat-1,EPL 1.0,,,,java
hibernate-validator,4.2.0.Final-redhat-1,Apache 2.0,,,,java

iridev2-pep-intf,2.0.0,???,,,,java

jackson-core-asl,1.9.2-redhat-1,Apache 2.0,,,,java
jackson-mapper-asl,1.9.2-redhat-1,Apache 2.0,,,,java
javassist,3.16.1-GA,Apache 2.0+LGPL 2.1+MPL 1.1,,,,java
jboss-ejb-api_3.1_spec,1.0.2.Final-redhat-1,CDDL+GPL 2.0,,,,java
jboss-jsp-api_2.2_spec,1.0.1.Final-redhat-1,LGPL 2.1,,,,java
jboss-jstl-api_1.2_spec,1.0.3.Final-redhat-1,CDDL+GPL 1.0,,,,java
jboss-logging,3.1.1.GA-redhat-1,LGPL 2.1,,,,java
jboss-transaction-api_1.1_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
jboss-servlet-api_3.0_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
jtype,0.1.1-redhat-1,Apache 2.0,,,,java
junit,4.11,EPL 1.0,,,,java
log4j,1.2.15,Apache 2.0,,,,java
ognl,3.0.19,Apache 2.0,,,,java
postgresql,9.4-1201.jdbc4,POSTGRESQL,,,,java

remincl,1.0.2,???,,,,java
shibboleth-shibfilter,1.0.0,???,,,,java

spring-aop,3.1.1.RELEASE,Apache 2.0,,,,java
spring-asm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-beans,3.1.1.RELEASE,Apache 2.0,,,,java
spring-context,3.1.1.RELEASE,Apache 2.0,,,,java
spring-core,3.1.1.RELEASE,Apache 2.0,,,,java
spring-data-commons-core,1.4.0.RELEASE,Apache 2.0,,,,java
spring-data-jpa,1.2.0.RELEASE,Apache 2.0,,,,java
spring-expression,3.1.1.RELEASE,Apache 2.0,,,,java
spring-jdbc,3.1.1.RELEASE,Apache 2.0,,,,java
spring-orm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-test,3.1.1.RELEASE,Apache 2.0,,,,java
spring-tx,3.1.1.RELEASE,Apache 2.0,,,,java
spring-web,3.1.1.RELEASE,Apache 2.0,,,,java
spring-webmvc,3.1.1.RELEASE,Apache 2.0,,,,java

ssobart-audit-client,1.0.0,???,,,,java
ssobart-client,2.1.1,???,,,,java
ssobart-client-pepauth,1.1.0,???,,,,java

struts2-arianna-plugin,0.5.1,Apache 2.0,,,,java
struts2-core,2.3.32,Apache 2.0,,,,java
struts2-spring-plugin,2.3.32,Apache 2.0,,,,java

util-beanlocatorfactory,1.0.1,???,,,,java
util-perf,1.0.1,???,,,,java
util-struts2-csitemplate,2.0.0,???,,,,java

validation-api,1.0.0.GA-redhat-1,Apache 2.0,,,,java
xwork-core,2.3.32,Apache 2.0,,,,java


bootbox,3.3.0,MIT,,,,javascript
bootstrap,2.1.1,Apache 2.0,,,,javascript
bwizard,,GPL 3.0,,,,javascript
datatable,1.9.4,GPL 2.0+BSD 3-clause,,,,javascript
jquery,1.8.1,MIT,,,,javascript
jquery.masonry,2.1.08,MIT,,,,javascript
placeholders,3.0.2,MIT,,,,javascript
prettify,,Apache 2.0,,,,javascript
ztree,3.5.12,MIT,,,,javascript
